Time;Perf_Time;Action
17:49:04;1053.2593296;M
17:49:04;1053.4467783;y
17:49:04;1053.6038882;SPACE
17:49:04;1053.7867697;l
17:49:04;1053.8062563;a
17:49:05;1053.9496203;s
17:49:05;1054.038885;t
17:49:05;1054.2305025;SPACE
17:49:05;1054.3701938;v
17:49:05;1054.4464147;a
17:49:05;1054.7838;c
17:49:06;1054.9336021;a
17:49:06;1055.1559291;t
17:49:06;1055.3550858;i
17:49:06;1055.8613198;o
17:49:07;1056.0038134;n
17:49:07;1056.1800646;SPACE
17:49:07;1056.4609886;i
17:49:07;1056.5421125;s
17:49:07;1056.6415142;SPACE
17:49:08;1057.2573199;BACK
17:49:10;1058.9355627;SPACE
17:49:10;1059.1283129;n
17:49:10;1059.40048;o
17:49:10;1059.5041579;w
17:49:10;1059.6266518;SPACE
17:49:10;1059.720876;a
17:49:10;1059.8546968;SPACE
17:49:11;1060.0705184;b
17:49:11;1060.2218638;i
17:49:11;1060.3456547;t
17:49:11;1060.4496598;SPACE
17:49:12;1061.3009149;f
17:49:12;1061.4903901;a
17:49:12;1061.6329678;r
17:49:12;1061.8419851;t
17:49:13;1062.0418712;h
17:49:13;1062.128372;e
17:49:13;1062.3083534;r
17:49:18;1067.0230101;BACK
17:49:18;1067.1324273;BACK
17:49:18;1067.2500445;BACK
17:49:18;1067.7755185;w
17:49:19;1067.9169486;a
17:49:19;1067.997581;s
17:49:19;1068.0880515;I 
17:49:19;1068.1059392;SPACE
17:49:19;1068.3464055;l
17:49:19;1068.4692871;a
17:49:20;1068.968512;BACK
17:49:20;1069.0647296;BACK
17:49:20;1069.2119617;BACK
17:49:20;1069.3639013;BACK
17:49:20;1069.5082367;BACK
17:49:20;1069.6781308;BACK
17:49:20;1069.8262427;BACK
17:49:21;1070.1551209;BACK
17:49:21;1070.5343498;w
17:49:21;1070.7365919;a
17:49:21;1070.8374713;s
17:49:22;1070.8982308;SPACE
17:49:22;1071.4496511;i
17:49:22;1071.6388904;n
17:49:22;1071.7847085;SPACE
17:49:24;1073.4029482;A
17:49:24;1073.5971502;p
17:49:24;1073.6391078;t
17:49:24;1073.8504857;e
17:49:25;1073.9238679;m
17:49:25;1074.3483059;BACK
17:49:25;1074.4827032;BACK
17:49:25;1074.6461579;BACK
17:49:25;1074.7826009;BACK
17:49:26;1074.9381654;BACK
17:49:26;1075.6006521;S
17:49:26;1075.7593772;e
17:49:27;1075.9883243;p
17:49:27;1076.4072765;t
17:49:27;1076.6375079;e
17:49:27;1076.7249005;m
17:49:28;1076.9235451;b
17:49:28;1076.9950325;e
17:49:28;1077.0991363;r
17:49:28;1077.1840039;SPACE
17:49:28;1077.5490212;l
17:49:28;1077.6105685;a
17:49:28;1077.7273717;s
17:49:28;1077.8175967;t
17:49:29;1078.0222764;SPACE
17:49:29;1078.1738484;g
17:49:29;1078.2669645;e
17:49:29;1078.3863756;a
17:49:29;1078.5646727;r
17:49:30;1079.5376497;y
17:49:30;1079.5617509;SPACE
17:49:31;1079.9085013;BACK
17:49:32;1080.9004815;.
17:49:32;1081.0054808;SPACE
17:49:32;1081.5216199;A
17:49:32;1081.6048156;SPACE
17:49:32;1081.7992136;f
17:49:33;1082.007254;r
17:49:33;1082.0456266;i
17:49:33;1082.1430747;e
17:49:33;1082.2412707;n
17:49:33;1082.2677288;d
17:49:33;1082.6553414;SPACE
17:49:33;1082.8707394;o
17:49:34;1082.9477082;f
17:49:34;1083.0750386;SPACE
17:49:34;1083.3104298;k
17:49:34;1083.5037685;i
17:49:34;1083.6508046;n
17:49:34;1083.7213619;e
17:49:34;1083.7696831;m
17:49:34;1083.7846674;SPACE
17:49:35;1084.7472813;a
17:49:35;1084.8606728;n
17:49:36;1084.9872872;d
17:49:36;1085.0674617;SPACE
17:49:36;1085.2627278;m
17:49:36;1085.3950279;e
17:49:36;1085.4402867;SPACE
17:49:37;1086.1415842;t
17:49:37;1086.3781123;o
17:49:37;1086.5060207;o
17:49:37;1086.6798422;k
17:49:37;1086.8656623;SPACE
17:49:38;1086.9289111;a
17:49:38;1087.0641552;SPACE
17:49:38;1087.3637751;t
17:49:38;1087.552113;r
17:49:38;1087.6471602;i
17:49:38;1087.8467439;p
17:49:39;1088.0534198;SPACE
17:49:39;1088.2251088;t
17:49:39;1088.3427163;o
17:49:39;1088.5557142;SPACE
17:49:40;1089.2084219;M
17:49:40;1089.5890003;BACK
17:49:41;1090.2700163;m
17:49:41;1090.3391124;u
17:49:41;1090.5365186;n
17:49:41;1090.6739814;i
17:49:41;1090.7506795;c
17:49:42;1091.1623509;h
17:49:42;1091.3955392;M
17:49:42;1091.4249178;SPACE
17:49:42;1091.5576873;a
17:49:42;1091.6393802;n
17:49:43;1092.736872;d
17:49:43;1092.799303;SPACE
17:49:44;1092.9125718;s
17:49:44;1093.0534178;t
17:49:44;1093.1558046;a
17:49:44;1093.2581601;y
17:49:44;1093.4006017;e
17:49:44;1093.5163095;d
17:49:44;1093.5760238;SPACE
17:49:44;1093.7885416;i
17:49:45;1093.9014585;n
17:49:45;1094.0897376;SPACE
17:49:45;1094.3812821;a
17:49:45;1094.560213;SPACE
17:49:46;1095.6242869;5
17:49:46;1095.8662;SPACE
17:49:47;1096.2705953;s
17:49:47;1096.3549134;t
17:49:47;1096.4382499;a
17:49:47;1096.549132;r
17:49:48;1097.0256856;SPACE
17:49:49;1098.0501566;h
17:49:49;1098.2174798;o
17:49:49;1098.3034232;t
17:49:49;1098.512669;e
17:49:49;1098.6194594;l
17:49:52;1100.9169026;SPACE
17:49:52;1100.9513882;-
17:49:52;1101.1553939;SPACE
17:49:52;1101.7310094;t
17:49:53;1101.9496013;h
17:49:53;1101.9943511;a
17:49:53;1102.1159185;t
17:49:53;1102.2987198;SPACE
17:49:53;1102.4042077;w
17:49:53;1102.5872218;a
17:49:53;1102.7021364;s
17:49:53;1102.7884737;SPACE
17:49:54;1103.1072187;p
17:49:54;1103.1303022;r
17:49:54;1103.27056;e
17:49:54;1103.5863697;t
17:49:54;1103.7113363;t
17:49:55;1103.8871824;y
17:49:55;1104.0100502;SPACE
17:49:55;1104.1128971;d
17:49:55;1104.2181249;i
17:49:55;1104.4042938;p
17:49:56;1104.9108647;BACK
17:49:56;1105.0618538;BACK
17:49:56;1105.5078667;9
17:49:57;1106.5000865;BACK
17:49:57;1106.7503355;o
17:49:58;1106.9280355;p
17:49:58;1106.9898622;e
17:49:58;1107.6069977;!
