Time;Perf_Time;Action
15:08:02;1216.3383807;H
15:08:02;1216.4204801;e
15:08:02;1216.6187976;k
15:08:02;1216.7725679;k
15:08:03;1216.948211;o
15:08:03;1217.8867582;ll
15:08:03;1217.9064723;SPACE
15:08:04;1218.7095104;t
15:08:04;1218.7956389;o
15:08:05;1219.0452275;u
15:08:05;1219.1549004;d
15:08:06;1220.6144455;SPACE
15:08:07;1221.0453668;BACK
15:08:07;1221.0604165;.
15:08:07;1221.0902123;SPACE
15:08:10;1224.4436113;BACK
15:08:10;1224.4859251;\n
15:08:11;1225.227485;P
15:08:11;1225.4445539;i
15:08:11;1225.6316538;s
15:08:12;1226.1833338;s
15:08:12;1226.3898938;SPACE
15:08:12;1226.7005661;d
15:08:12;1226.7278673;i
15:08:12;1226.9144537;c
15:08:13;1226.9735889;h
15:08:13;1227.2133363;SPACE
15:08:13;1227.7678869;BACK
15:08:13;1227.7914331;.
15:08:13;1227.8099098;SPACE
15:08:14;1228.6967538;U
15:08:15;1228.9945648;BACK
15:08:15;1229.1558712;BACK
15:08:15;1229.320032;BACK
15:08:15;1229.9262519;u
15:08:16;1230.2820068;BACK
15:08:16;1230.4985222;SPACE
15:08:16;1230.7347149;u
15:08:16;1230.8843029;n
15:08:17;1231.0008865;d
15:08:17;1231.0735468;SPACE
15:08:17;1231.2779503;a
15:08:17;1231.3692406;l
15:08:17;1231.5261541;l
15:08:17;1231.655948;e
15:08:17;1231.8275996;s
15:08:17;1231.9191757;SPACE
15:08:18;1232.1757263;g
15:08:18;1232.3110731;u
15:08:18;1232.430321;t
15:08:18;1232.6829628;e
15:08:18;1232.7348026;G
15:08:18;1232.7480363;SPACE
15:08:19;1233.1364219;z
15:08:19;1233.2385525;u
15:08:19;1233.4391074;n
15:08:19;1233.6414593;m
15:08:19;1233.650691;SPACE
15:08:20;1234.2084199;Geburtstag
15:08:20;1234.2166959;SPACE
15:08:20;1234.6076379;BACK
15:08:20;1234.6273533;.
15:08:20;1234.6368685;SPACE
15:08:22;1236.4314221;H
15:08:22;1236.5561004;a
15:08:22;1236.6811779;l
15:08:22;1236.8168151;t
15:08:23;1236.9453822;SPACE
15:08:23;1237.0860568;d
15:08:23;1237.1592565;i
15:08:23;1237.2773895;e
15:08:23;1237.3805468;SPACE
15:08:23;1237.5849429;o
15:08:23;1237.7442112;h
15:08:23;1237.8357553;r
15:08:24;1237.9870149;e
15:08:24;1238.3060902;n
15:08:24;1238.6068078;O
15:08:24;1238.6196011;SPACE
15:08:24;1238.8834522;s
15:08:25;1239.1380393;t
15:08:25;1239.3282878;e
15:08:25;1239.4427232;i
15:08:25;1239.5692393;f
15:08:25;1239.7376504;SPACE
15:08:26;1239.9536343;u
15:08:26;1240.1456;n
15:08:26;1240.2734273;d
15:08:26;1240.3823494;SPACE
15:08:28;1242.0128908;l
15:08:28;1242.1257095;a
15:08:28;1242.3132523;s
15:08:28;1242.4543035;s
15:08:28;1242.5998073;SPACE
15:08:28;1242.8227684;m
15:08:28;1242.9193297;a
15:08:29;1242.9726335;l
15:08:29;1243.1700619;SPACE
15:08:29;1243.2682416;w
15:08:29;1243.3236816;j
15:08:29;1243.4341317;e
15:08:29;1243.5989551;d
15:08:29;1243.7444922;e
15:08:29;1243.878823;r
15:08:30;1243.9680909;i
15:08:30;1243.9839381;SPACE
15:08:30;1244.168788;w
15:08:30;1244.3366947;s
15:08:30;1244.4677052;s
15:08:30;1244.5253211;a
15:08:30;1244.5411817;SPACE
15:08:30;1244.7146691;m
15:08:30;1244.7485074;a
15:08:31;1244.9488928;f
15:08:31;1244.9892708;h
15:08:31;1245.1389413;e
15:08:31;1245.1650784;n
15:08:31;1245.4282425;c
15:08:31;1245.4381703;SPACE
15:08:37;1251.2686214;BACK
15:08:37;1251.2760949;. 
15:08:37;1251.2885052;BACK
15:08:38;1252.4223679; I
15:08:38;1252.5547207;c
15:08:38;1252.60152;h
15:08:38;1252.7827375;SPACE
15:08:39;1252.9932972;b
15:08:39;1253.0665783;r
15:08:39;1253.2218415;u
15:08:39;1253.2658282;q
15:08:39;1253.4847617;h
15:08:39;1253.5019318;f
15:08:39;1253.6685282;e
15:08:39;1253.7548776;SPACE
15:08:40;1254.8291746;BACK
15:08:40;1254.8570519;BACK
15:08:42;1256.329155;b
15:08:42;1256.3908655;r
15:08:42;1256.6247912;u
15:08:42;1256.863894;a
15:08:43;1257.3782112;BACK
15:08:43;1257.5506478;BACK
15:08:43;1257.6820115;a
15:08:43;1257.7900132;u
15:08:43;1257.9402612;c
15:08:44;1258.0329541;h
15:08:44;1258.1961657;e
15:08:44;1258.3395658;SPACE
15:08:44;1258.5523622;n
15:08:44;1258.7151628;k
15:08:44;1258.8050164;c
15:08:44;1258.8976493;h
15:08:45;1259.0815906;o
15:08:45;1259.0981624;SPACE
15:08:45;1259.2938717;m
15:08:45;1259.5023299;e
15:08:45;1259.6255305;h
15:08:45;1259.7370504;e
15:08:46;1259.941508;r
15:08:46;1259.9589182;SPACE
15:08:46;1260.6595655;w
15:08:46;1260.7078437;o
15:08:46;1260.9120819;e
15:08:47;1261.0882936;t
15:08:47;1261.292533;e
15:08:47;1261.4268763;r
15:08:47;1261.7602444;Wör
15:08:47;1261.7757954;SPACE
