Time;Perf_Time;Action
14:31:07;2250553.835255137;D
14:31:07;2250553.969695426;e
14:31:08;2250554.160573848;a
14:31:08;2250554.378356269;r
14:31:08;2250554.483586245;SPACE
14:31:09;2250555.336093614;BACK
14:31:09;2250555.415555573;BACK
14:31:09;2250555.595587207;BACK
14:31:09;2250555.72242933;BACK
14:31:09;2250555.904162868;BACK
14:31:10;2250556.475667826;H
14:31:10;2250556.582784254;e
14:31:10;2250556.921943648;y
14:31:11;2250557.052950522;SPACE
14:31:11;2250557.348433186;B
14:31:11;2250557.510561443;u
14:31:11;2250557.601646012;d
14:31:11;2250557.756135395;d
14:31:11;2250557.982191051;y
14:31:12;2250558.535372801;,
14:31:12;2250558.833959576;SPACE
14:31:13;2250559.888352806;BACK
14:31:15;2250561.869441284;
14:31:18;2250564.359909272;SPACE
14:31:18;2250564.585897381;i
14:31:18;2250564.781761503;SPACE
14:31:19;2250565.098677382;j
14:31:19;2250565.383627261;ud
14:31:19;2250565.387841913;BACK
14:31:19;2250565.466660204;dt
14:31:19;2250565.682272486;SPACE
14:31:19;2250565.776749639;w
14:31:19;2250565.976857647;q
14:31:20;2250566.01344528;n
14:31:20;2250566.475317295;BACK
14:31:20;2250566.603907103;BACK
14:31:20;2250566.795945505;BACK
14:31:20;2250566.911116911;BACK
14:31:21;2250567.102883872;BACK
14:31:21;2250567.231173236;BACK
14:31:21;2250567.629205853;s
14:31:21;2250567.842295207;t
14:31:21;2250567.971876798;SPACE
14:31:23;2250569.997185131;BACK
14:31:25;2250571.834594211;SPACE
14:31:25;2250571.915830877;q
14:31:26;2250572.098915477;u
14:31:26;2250572.222396727;i
14:31:26;2250572.297627189;f
14:31:26;2250572.369668694;k
14:31:26;2250572.547854227;l
14:31:26;2250572.768910497;y
14:31:26;2250572.881426136;SPACE
14:31:27;2250573.514025637;w
14:31:27;2250573.635377434;a
14:31:27;2250573.683147788;n
14:31:27;2250573.839261063;t
14:31:28;2250574.050865069;e
14:31:28;2250574.202464601;d
14:31:28;2250574.330848081;SPACE
14:31:28;2250574.633214947;t
14:31:28;2250574.778422706;o
14:31:28;2250574.999860005;SPACE
14:31:29;2250575.267959466;w
14:31:29;2250575.521193032;r
14:31:29;2250575.69248067;i
14:31:29;2250575.778841874;t
14:31:29;2250576.002326059;e
