Time;Perf_Time;Action
14:47:04;2251510.201765217;F
14:47:04;2251510.273290235;o
14:47:04;2251510.382211153;r
14:47:04;2251510.503879054;SPACE
14:47:04;2251510.681813623;m
14:47:04;2251510.781843117;y
14:47:04;2251510.86285947;SPACE
14:47:05;2251511.54367101;l
14:47:05;2251511.570519353;a
14:47:05;2251511.748146034;s
14:47:05;2251511.835082218;t
14:47:06;2251512.050443432;SPACE
14:47:06;2251512.108340213;a
14:47:06;2251512.126589273;BACK
14:47:06;2251512.132091881;BACK
14:47:06;2251512.136516517;last a
14:47:06;2251512.33296941;v
14:47:06;2251512.378791531;BACK
14:47:06;2251512.40255493;last 
14:47:06;2251512.406492574;av
14:47:06;2251512.83387642;BACK
14:47:06;2251512.958045821;BACK
14:47:07;2251513.726037539;va
14:47:07;2251513.730283531;BACK
14:47:07;2251513.824968754;ac
14:47:07;2251513.914171626;a
14:47:08;2251514.138807694;t
14:47:08;2251514.253193874;o
14:47:08;2251514.774842961;BACK
14:47:09;2251515.077340931;i
14:47:09;2251515.215016769;o
14:47:09;2251515.379882414;n
14:47:09;2251515.518418603;SPACE
14:47:09;2251515.676121137;i
14:47:09;2251515.860388368;SPACE
14:47:09;2251515.973150728;w
14:47:10;2251516.150663901;r
14:47:10;2251516.271883659;n
14:47:10;2251516.356047875;t
14:47:10;2251516.455466267;SPACE
14:47:10;2251516.908240656;BACK
14:47:11;2251517.032912318;BACK
14:47:11;2251517.207450977;BACK
14:47:11;2251517.389905044;BACK
14:47:11;2251517.498106544;e
14:47:11;2251517.571447357;n
14:47:11;2251517.667112226;t
14:47:11;2251517.758418374;SPACE
14:47:12;2251518.185220295;t
14:47:12;2251518.269423095;o
14:47:12;2251518.474216888;SPACE
14:47:12;2251518.642192336;c
14:47:12;2251518.999061021;r
14:47:13;2251519.2023232;o
14:47:13;2251519.414397667;a
14:47:13;2251519.643044062;t
14:47:13;2251519.794103904;i
14:47:13;2251519.955650032;a
14:47:14;2251520.089422569;SPACE
14:47:14;2251520.577337303;e
14:47:14;2251520.692133248;i
14:47:14;2251520.863974832;t
14:47:14;2251520.969558833;h
14:47:15;2251521.162830954;SPACE
14:47:15;2251521.315716808;m
14:47:15;2251521.430546898;y
14:47:15;2251521.499911706;SPACE
14:47:15;2251521.675696514;b
14:47:17;2251523.132130654;BACK
14:47:18;2251524.106239942;f
14:47:18;2251524.275515445;r
14:47:18;2251524.418515023;i
14:47:18;2251524.503161214;e
14:47:18;2251524.629496887;n
14:47:18;2251524.71727907;d
14:47:18;2251524.918983106;s
14:47:19;2251525.404821762;BACK
14:47:19;2251525.708554529;d
14:47:20;2251526.422453976;BACK
14:47:21;2251527.323254075;s
14:47:23;2251529.410911726;
14:47:25;2251531.893577553;BACK
14:47:25;2251532.003080082;w
14:47:27;2251533.32378416;L
14:47:29;2251535.328191678;
14:47:30;2251536.99628781;.
