Time;Perf_Time;Action
08:12:32;2400638.848493788;F
08:12:32;2400638.930306614;o
08:12:33;2400639.025198349;r
08:12:33;2400639.140982455;SPACE
08:12:33;2400639.685724922;t
08:12:33;2400639.843116796;j
08:12:33;2400639.939608091;e
08:12:34;2400640.009721713;h
08:12:34;2400640.050187969;SPACE
08:12:34;2400640.455363666;l
08:12:34;2400640.526481038;a
08:12:34;2400640.688801454;s
08:12:34;2400640.787232306;SPACE
08:12:34;2400640.928851418;t
08:12:35;2400641.114727775;BACK
08:12:35;2400641.270566837;BACK
08:12:35;2400641.598713708;BACK
08:12:35;2400641.718499345;BACK
08:12:35;2400641.848998179;BACK
08:12:36;2400642.024092973;BACK
08:12:36;2400642.111596287;BACK
08:12:36;2400642.24482027;BACK
08:12:36;2400642.377528948;BACK
08:12:36;2400642.47371464;BACK
08:12:37;2400643.120412361;SPACE
08:12:37;2400643.485327386;m
08:12:37;2400643.548635709;y
08:12:37;2400643.644945052;SPACE
08:12:37;2400643.860401728;l
08:12:37;2400643.993804427;a
08:12:38;2400644.142649196;s
08:12:38;2400644.314847279;t
08:12:38;2400644.369536201;SPACE
08:12:39;2400645.13832774;v
08:12:39;2400645.353356484;a
08:12:39;2400645.718358303;v
08:12:40;2400646.683888875;a
08:12:41;2400647.218795583;t
08:12:41;2400647.298595134;i
08:12:41;2400647.48642905;o
08:12:41;2400647.645689255;n
08:12:41;2400647.816479368;LVlen
08:12:41;2400647.828003323;SPACE
08:12:42;2400648.46431783;BACK
08:12:42;2400648.658430859;BACK
08:12:43;2400649.166108472;BACK
08:12:43;2400649.277701619;BACK
08:12:43;2400649.376952267;BACK
08:12:43;2400649.477290435;BACK
08:12:43;2400649.575896185;BACK
08:12:43;2400649.67649539;BACK
08:12:43;2400649.775970901;BACK
08:12:43;2400649.873855799;BACK
08:12:44;2400650.338181742;BACK
08:12:44;2400650.5185324;BACK
08:12:45;2400651.113133139;V
08:12:45;2400651.313703866;a
08:12:45;2400651.546749227;c
08:12:45;2400651.730990088;a
08:12:46;2400652.014538396;t
08:12:46;2400652.266679349;i
08:12:46;2400652.396384674;o
08:12:46;2400652.562191316;n
08:12:46;2400652.985518835;SPACE
08:12:47;2400653.544489104;i
08:12:47;2400653.70922734;s
08:12:47;2400653.853557895;SPACE
08:12:48;2400654.133019889;w
08:12:48;2400654.287072643;a
08:12:48;2400654.597052212;s
08:12:48;2400654.695577952;SPACE
08:12:49;2400655.021318181;i
08:12:49;2400655.212404595;SPACE
08:12:50;2400656.378014379;BACK
08:12:50;2400656.563961962;n
08:12:50;2400656.713660291;SPACE
08:12:51;2400657.246650789;t
08:12:51;2400657.380792171;u
08:12:51;2400657.5441823;r
08:12:51;2400657.843066979;k
08:12:52;2400658.355830447;e
08:12:52;2400658.536579321;y
08:12:54;2400660.167870111;SPACE
08:12:54;2400660.435494953;BACK
08:12:55;2400661.706790694;.
08:12:59;2400665.549617888;SPACE
08:13:14;2400680.932174074;BACK
08:13:15;2400681.400820971;BACK
08:13:15;2400681.583052104;SPACE
08:13:15;2400681.740503361;d
08:13:15;2400681.809474722;o
08:13:15;2400681.924052906;r
08:13:15;2400681.973812268;f
08:13:16;2400682.012798582;SPACE
08:13:18;2400684.128760084;o
08:13:18;2400684.27711181;n
08:13:18;2400684.336832037;e
08:13:18;2400684.414957399;SPACE
08:13:19;2400685.618512921;w
08:13:19;2400685.786117285;e
08:13:19;2400685.914720143;e
08:13:20;2400686.108624451;k
08:13:20;2400686.809925354;.
08:13:21;2400687.355785128;SPACE
08:13:22;2400688.483020085;I
08:13:22;2400688.637695225;SPACE
08:13:23;2400689.144529475;w
08:13:23;2400689.278522361;e
08:13:23;2400689.357051041;n
08:13:23;2400689.489863411;r
08:13:23;2400689.523459509;Wlt
08:13:23;2400689.531643132;SPACE
08:13:24;2400690.148333989;BACK
08:13:24;2400690.291352034;BACK
08:13:24;2400690.39934437;BACK
08:13:24;2400690.507741177;BACK
08:13:24;2400690.660388995;BACK
08:13:27;2400693.018943672;w
08:13:27;2400693.207800748;e
08:13:27;2400693.26489923;n
08:13:27;2400693.37477632;t
08:13:27;2400693.766800031;SPACE
08:13:28;2400694.694469455;t
08:13:28;2400694.858524862;h
08:13:29;2400695.017669642;e
08:13:29;2400695.161240613;r
08:13:29;2400695.287494407;SPACE
08:13:29;2400695.813140956;BACK
08:13:29;2400695.995187053;e
08:13:30;2400696.082661655;SPACE
08:13:30;2400696.630347602;w
08:13:30;2400696.668219527;i
08:13:30;2400696.832231361;r
08:13:31;2400697.030478843;j
08:13:31;2400697.24697701;Wtz
08:13:31;2400697.265976471;SPACE
08:13:31;2400697.806718641;BACK
08:13:31;2400697.917721976;BACK
08:13:32;2400698.015019702;BACK
08:13:32;2400698.158921595;BACK
08:13:32;2400698.254980472;BACK
08:13:33;2400699.21997106;w
08:13:33;2400699.304173915;i
08:13:33;2400699.492777007;r
08:13:33;2400699.622255858;h
08:13:33;2400699.993390665;BACK
08:13:34;2400700.147215942;BACK
08:13:34;2400700.228365153;t
08:13:34;2400700.386477988;j
08:13:34;2400700.585217803;SPACE
08:13:34;2400701.003796519;BACK
08:13:35;2400701.126882484;BACK
08:13:36;2400702.170060029;h
08:13:37;2400703.466370913;SPACE
08:13:38;2400704.475706141;m
08:13:38;2400704.626696713;y
08:13:38;2400704.997484276;SPACE
08:13:39;2400705.667473444;g
08:13:40;2400706.485602908;i
08:13:40;2400706.617828621;r
08:13:40;2400706.746317776;l
08:13:41;2400707.521441547;f
08:13:41;2400707.885137274;r
08:13:42;2400708.034076712;i
08:13:42;2400708.158720928;e
08:13:42;2400708.2306694;n
08:13:42;2400708.349311806;d
08:13:42;2400708.474352725;SPACE
08:13:43;2400709.543369373;a
08:13:43;2400709.615956983;n
08:13:43;2400709.760054431;d
08:13:43;2400709.84325603;SPACE
08:13:44;2400710.259472115;BACK
08:13:44;2400710.383834123;BACK
08:13:44;2400710.4939594;BACK
08:13:44;2400710.634564603;BACK
08:13:44;2400710.753943849;BACK
08:13:45;2400711.488208224;,
08:13:45;2400711.533021012;SPACE
08:13:45;2400711.92887343;m
08:13:45;2400711.994127582;y
08:13:46;2400712.091357841;SPACE
08:13:46;2400712.67918024;s
08:13:46;2400712.746206164;i
08:13:46;2400712.907105611;n
08:13:47;2400713.067709206;d
08:13:47;2400713.242900741;t
08:13:47;2400713.448296452;e
08:13:47;2400713.583825496;e
08:13:47;2400713.645964327;SPACE
08:13:47;2400713.933212199;BACK
08:13:48;2400714.028256041;BACK
08:13:48;2400714.183548798;BACK
08:13:48;2400714.317511547;BACK
08:13:49;2400715.087221428;BACK
08:13:49;2400715.267764726;BACK
08:13:49;2400715.596971508;s
08:13:49;2400715.760573234;t
08:13:49;2400715.950139559;e
08:13:50;2400716.093839401;e
08:13:50;2400716.456645712;Srs
08:13:50;2400716.463036053;SPACE
08:13:50;2400716.958403705;BACK
08:13:51;2400717.06471572;BACK
08:13:51;2400717.796604399;SPACE
08:13:52;2400718.609794156;a
08:13:52;2400718.662026833;n
08:13:52;2400718.79940315;SPACE
08:14:16;2400742.659708634;old friend and two cousins\n\nWe spent it on a small house in
08:14:17;2400743.157569321;BACK
08:14:17;2400743.264058391;BACK
08:14:17;2400743.359970779;BACK
08:14:17;2400743.459440589;BACK
08:14:17;2400743.556442834;BACK
08:14:17;2400743.657745078;BACK
08:14:17;2400743.758872025;BACK
08:14:17;2400743.858773644;BACK
08:14:17;2400743.96093685;BACK
08:14:18;2400744.058076964;BACK
08:14:18;2400744.157177743;BACK
08:14:19;2400745.113836883;h
08:14:19;2400745.221566929;e
08:14:19;2400745.365749315;r
08:14:19;2400745.451477061;SPACE
08:14:20;2400746.673219389;b
08:14:20;2400746.975568452;o
08:14:21;2400747.309108653;y
08:14:21;2400747.922403675;f
08:14:22;2400748.147669393;r
08:14:22;2400748.251170129;i
08:14:22;2400748.336627176;e
08:14:22;2400748.416957221;n
08:14:22;2400748.598915002;d
08:14:23;2400749.910985511;.
08:14:27;2400753.236916324;BACK
08:14:27;2400753.368422576;BACK
