Time;Perf_Time;Action
08:48:26;2316392.049614505;H
08:48:26;2316392.137263654;e
08:48:26;2316392.362412217;l
08:48:26;2316392.52975331;l
08:48:26;2316392.72165588;o
08:48:27;2316393.375432321;SPACE
08:48:27;2316393.729992046;n
08:48:27;2316393.925404436;i
08:48:28;2316394.119955262;k
08:48:28;2316394.220177714;a
08:48:28;2316394.644996816;BACK
08:48:28;2316394.922653125;l
08:48:28;2316394.986434509;a
08:48:29;2316395.209896227;s
08:48:32;2316398.238034058;N,
08:48:32;2316398.242308402;BACK
08:48:32;2316398.624727704;,\n
08:48:33;2316399.888144657;\n
08:48:34;2316400.419631932;I
08:48:34;2316400.660852361;SPACE
08:48:35;2316401.450661148;h
08:48:35;2316401.653193569;d
08:48:35;2316401.727046595;o
08:48:35;2316401.769794687;d
08:48:36;2316402.162940181;BACK
08:48:36;2316402.318083087;BACK
08:48:36;2316402.466020193;BACK
08:48:36;2316402.8419119;o
08:48:37;2316403.032896329;p
08:48:37;2316403.098153619;e
08:48:37;2316403.296923527;SPACE
08:48:38;2316404.036530932;z
08:48:38;2316404.129640429;o
08:48:38;2316404.347561522;u
08:48:38;2316404.719228427;BACK
08:48:38;2316404.873327935;BACK
08:48:39;2316405.483321183;BACK
08:48:39;2316405.645069941;BACK
08:48:39;2316405.801985819;BACK
08:48:39;2316405.97336272;BACK
08:48:40;2316406.131636052;BACK
08:48:40;2316406.275058124;BACK
08:48:40;2316406.731518336;w
08:48:40;2316406.850163048;i
08:48:41;2316407.237475368;s
08:48:41;2316407.333622902;h
08:48:41;2316407.535146428;SPACE
08:48:42;2316408.645473523;y
08:48:42;2316408.878517895;o
08:48:43;2316409.061896344;u
08:48:43;2316409.283669793;SPACE
08:48:43;2316409.449168594;a
08:48:43;2316409.581187308;SPACE
08:48:43;2316409.793468615;h
08:48:43;2316409.942733971;a
08:48:44;2316410.042845738;o
08:48:44;2316410.211064238;o
08:48:44;2316410.336592152;z
08:48:44;2316410.702956289;ppy
08:48:44;2316410.707302666;SPACE
08:48:45;2316411.843539024;b
08:48:46;2316412.132210662;i
08:48:46;2316412.253246276;r
08:48:46;2316412.474256817;t
08:48:46;2316412.762423974;h
08:48:47;2316413.448602024;day
08:48:47;2316413.471042955;SPACE
08:48:47;2316413.928786166;a
08:48:48;2316414.026562341;n
08:48:48;2316414.171494454;d
08:48:48;2316414.246172255;SPACE
08:48:48;2316414.457154578;i
08:48:48;2316414.689217247;I
08:48:48;2316414.693614692;SPACE
08:48:49;2316415.430582317;h
08:48:50;2316416.748208556;o
08:48:53;2316419.217447824;o
08:48:53;2316419.560264335;BACK
08:48:53;2316419.858332443;p
08:48:53;2316419.97836244;e
08:48:54;2316420.176879381;SPACE
08:48:55;2316421.566350846;z
08:48:55;2316421.628932693;o
08:48:55;2316421.930522182;u
08:48:56;2316422.608623251;BACK
08:48:56;2316422.775054321;BACK
08:48:56;2316422.902401068;BACK
08:48:58;2316424.743576085;y
08:48:58;2316424.996140624;o
08:48:59;2316425.208984785;u
08:48:59;2316425.433917169;SPACE
08:48:59;2316425.621945838;g
08:48:59;2316425.688342617;e
08:48:59;2316425.891891902;t
08:48:59;2316425.951750203;SPACE
08:49:00;2316426.156537939;y
08:49:00;2316426.215607411;o
08:49:00;2316426.439682572;t
08:49:00;2316426.444113237;SPACE
08:49:01;2316427.202033727;v
08:49:01;2316427.280451103;e
08:49:01;2316427.492160948;l
08:49:01;2316427.602557276;e
08:49:01;2316427.814113852;b
08:49:01;2316427.999681087;r
08:49:02;2316428.475248825;cate
08:49:02;2316428.479748761;SPACE
08:49:02;2316428.895091147;i
08:49:03;2316429.110521187;t
08:49:03;2316429.242379699;SPACE
08:49:03;2316429.972595218;w
08:49:04;2316430.118646993;i
08:49:04;2316430.32156408;t
08:49:04;2316430.452521674;h
08:49:04;2316430.701278124;SPACE
08:49:08;2316434.813339544;y
