Time;Perf_Time;Action
08:20:31;2314717.358375699;T
08:20:31;2314717.523586044;w
08:20:31;2314717.724022946;o
08:20:31;2314717.989716523;SPACE
08:20:32;2314718.287549749;o
08:20:32;2314718.409951849;f
08:20:32;2314718.558435983;SPACE
08:20:33;2314719.062743557;m
08:20:33;2314719.151180606;y
08:20:33;2314719.318287616;SPACE
08:20:33;2314719.688184506;f
08:20:33;2314719.884135378;r
08:20:34;2314720.045229963;i
08:20:34;2314720.122076186;e
08:20:34;2314720.271940894;n
08:20:34;2314720.373183599;d
08:20:34;2314720.592588466;a
08:20:34;2314720.718541444;SPACE
08:20:35;2314721.350421566;BACK
08:20:35;2314721.538653076;BACK
08:20:35;2314721.725697077;s
08:20:36;2314722.312327278;SPACE
08:20:36;2314722.532234458;a
08:20:36;2314722.637817113;n
08:20:36;2314722.80381423;d
08:20:36;2314722.92349024;SPACE
08:20:37;2314723.239811679;i
08:20:37;2314723.533174184;I
08:20:37;2314723.537596846;SPACE
08:20:39;2314725.551585057;BACK
08:21:57;2314803.881005111; were at the office the other day and we were talking about
08:22:06;2314812.910335673;BACK
08:22:07;2314813.101635589;BACK
08:22:07;2314813.510534184;BACK
08:22:07;2314813.554663815;BACK
08:22:07;2314813.579586974;BACK
08:22:07;2314813.602063104;BACK
08:22:07;2314813.651151161;BACK
08:22:08;2314814.247890673;BACK
08:22:08;2314814.41846958;BACK
08:22:08;2314814.599482557;BACK
08:22:10;2314816.61190517;
08:22:11;2314817.917354172;m
08:22:11;2314817.993534916;y
08:22:12;2314818.172155182;SPACE
08:22:13;2314819.172129414;h
08:22:13;2314819.395163882;o
08:22:13;2314819.597684121;m
08:22:13;2314819.658743024;e
08:22:15;2314821.698902137;
08:22:24;2314830.46202964;SPACE
08:22:25;2314831.598090184;v
08:22:25;2314831.730783709;i
08:22:25;2314831.920285147;s
08:22:26;2314832.070796307;i
08:22:26;2314832.786919149;t
08:22:27;2314833.026458682;i
08:22:27;2314833.245451681;n
08:22:27;2314833.362826051;g
08:22:29;2314835.277407178;SPACE
08:22:31;2314837.305254156;BACK
08:22:37;2314843.007625075;BACK
08:22:37;2314843.453722324;BACK
08:22:37;2314843.466112303;BACK
08:22:37;2314843.498823173;BACK
08:22:37;2314843.522158806;BACK
