Time;Perf_Time;Action
08:32:23;2315429.55989087;M
08:32:23;2315429.689316045;y
08:32:23;2315429.803388088;SPACE
08:32:23;2315429.976343392;f
08:32:24;2315430.33466073;r
08:32:24;2315430.888133201;i
08:32:25;2315431.046889036;e
08:32:25;2315431.178675829;n
08:32:25;2315431.301132579;d
08:32:25;2315431.50319429;s
08:32:25;2315431.643017424;SPACE
08:32:26;2315432.22646834;a
08:32:26;2315432.307805715;n
08:32:26;2315432.508481089;d
08:32:26;2315432.60429933;SPACE
08:32:26;2315432.896060662;i
08:32:30;2315436.072748952;I
08:32:30;2315436.1100227;SPACE
08:32:32;2315438.845894133;w
08:32:33;2315439.141982576;e
08:32:33;2315439.363689124;r
08:32:33;2315439.558309554;e
08:32:34;2315440.122349252;SPACE
08:32:34;2315440.405071147;a
08:32:34;2315440.592150373;t
08:32:34;2315440.857258041;SPACE
08:32:36;2315442.056569649;BACK
08:32:36;2315442.896604677;BACK
08:32:37;2315443.039296501;BACK
08:32:37;2315443.978517278;d
08:32:38;2315444.159218341;e
08:32:38;2315444.39647251;BACK
08:32:38;2315444.555376664;BACK
08:32:38;2315444.707655357;BACK
08:32:39;2315445.203775998;SPACE
08:32:39;2315445.744417943;d
08:32:39;2315445.945893505;e
08:32:40;2315446.265699552;c
08:32:40;2315446.526807809;e
08:32:40;2315446.723453079;i
08:32:40;2315446.893136309;d
08:32:41;2315447.719254157;BACK
08:32:41;2315447.927630987;BACK
08:32:42;2315448.116168418;BACK
08:32:42;2315448.30093393;BACK
08:32:42;2315448.486597515;BACK
08:32:42;2315448.69262045;BACK
08:32:45;2315451.565643197;a
08:32:45;2315451.772742301;t
08:32:46;2315452.837769119;SPACE
08:32:47;2315453.10022688;m
08:32:47;2315453.208795502;y
08:32:47;2315453.350473336;SPACE
08:32:48;2315454.400921899;BACK
08:32:48;2315454.739239954;BACK
08:32:50;2315456.869268997;y
08:32:50;2315456.960456308;SPACE
08:32:51;2315457.187474223;h
08:32:51;2315457.665154097;o
08:32:51;2315457.916381352;u
08:32:52;2315458.008997239;s
08:32:52;2315458.220908492;e
08:32:52;2315458.334527471;SPACE
08:32:52;2315458.581706438;a
08:32:52;2315458.746917317;n
08:32:52;2315458.817991695;d
08:32:53;2315459.563724967;SPACE
08:32:53;2315459.884452956;d
08:32:54;2315460.057490308;e
08:32:54;2315460.333995226;c
08:32:54;2315460.998241497;e
08:32:55;2315461.152134918;i
08:32:55;2315461.245693796;d
08:32:55;2315461.723934966;BACK
08:32:55;2315461.947544871;BACK
08:32:56;2315462.113898743;BACK
08:32:56;2315462.27459029;BACK
08:32:56;2315462.447872726;BACK
08:32:56;2315462.614157266;BACK
08:32:57;2315463.498028095;t
08:32:57;2315463.630974384;h
08:32:57;2315463.833959189;i
08:32:58;2315464.036779484;n
08:32:58;2315464.262456394;k
08:32:58;2315464.408641617;i
08:32:59;2315465.027556167;n
08:32:59;2315465.132779951;h
08:32:59;2315465.271050789;SPACE
08:32:59;2315465.976236961;BACK
08:33:00;2315466.158256997;BACK
08:33:00;2315466.345852413;g
08:33:00;2315466.503607658;SPACE
08:33:05;2315471.196385135;a
08:33:05;2315471.354862983;b
08:33:05;2315471.593148029;o
08:33:05;2315471.792134339;u
08:33:05;2315471.883169394;t
08:33:06;2315472.032028359;SPACE
08:33:06;2315472.23446045;a
08:33:06;2315472.367048669;SPACE
08:33:06;2315472.952463893;p
08:33:07;2315473.169893476;l
08:33:07;2315473.236180862;a
08:33:07;2315473.491964138;y
08:33:07;2315473.949657783;BACK
08:33:11;2315477.688088369;BACK
08:33:11;2315477.854012833;BACK
08:33:12;2315478.246015833;T
08:33:12;2315478.376945372;w
08:33:12;2315478.500618029;o
08:33:12;2315478.941558197;SPACE
08:33:13;2315479.219959793;o
08:33:13;2315479.322439853;f
08:33:14;2315480.705880493;SPACE
08:33:14;2315480.918973338;m
08:33:15;2315481.024434176;y
08:33:18;2315484.590919453;c
08:33:18;2315484.655659739;e
08:33:18;2315484.808303614;Pbo
08:33:18;2315484.824764621;SPACE
08:33:19;2315485.054923135;t
08:33:19;2315485.145903932;o
08:33:19;2315485.617625802;BACK
08:33:19;2315485.886029968;BACK
08:33:20;2315486.700017397;BACK
08:33:20;2315486.888421362;BACK
08:33:21;2315487.045186941;BACK
08:33:21;2315487.949131496;e
08:33:22;2315488.782935363;BACK
