taskid;question0;question1;question2;question3;question4;question5
60;5;5;5;5;1;1
61;3;2;2;2;2;5
62;2;2;3;3;1;5
63;5;5;5;5;3;3
64;3;4;2;4;3;5
65;3;4;2;3;3;5
