Time;Perf_Time;Action
08:38:29;1710995.188136319;I
08:38:29;1710995.435717696;SPACE
08:38:29;1710995.530109653;w
08:38:29;1710995.674311679;a
08:38:29;1710995.79334652;s
08:38:29;1710995.915213234;SPACE
08:38:30;1710996.259817499;p
08:38:30;1710996.458096455;l
08:38:30;1710996.579279793;a
08:38:30;1710996.807917373;y
08:38:30;1710996.922852601;i
08:38:31;1710997.066664839;n
08:38:31;1710997.20204975;g
08:38:54;1711020.907381504; in an arena in my youth, the old rink in Ottawa, a rink with a big wall.
08:38:55;1711021.116888173;SPACE
08:38:55;1711021.88352316;I
08:38:56;1711022.187970839;SPACE
08:38:56;1711022.58843069;BACK
08:38:56;1711022.692153828;t
08:38:56;1711022.82923888;SPACE
08:38:56;1711022.996226561;w
08:38:57;1711023.157017498;a
08:38:57;1711023.293761454;s
08:38:57;1711023.515411262;SPACE
08:38:57;1711023.836767498;v
08:38:58;1711024.043985066;e
08:38:58;1711024.165110691;r
08:38:58;1711024.423691003;y
08:38:58;1711024.587446356;SPACE
08:38:58;1711024.946842376;w
08:38:59;1711025.092665766;a
08:38:59;1711025.211832822;r
08:38:59;1711025.802347778;n
08:39:00;1711026.155345863;SPACE
08:39:00;1711026.846818375;BACK
08:39:00;1711026.980340325;BACK
08:39:01;1711027.773630077;m
08:39:01;1711027.971669021;SPACE
08:39:02;1711028.132789233;t
08:39:02;1711028.332322841;h
08:39:02;1711028.452019732;e
08:39:02;1711028.532340026;r
08:39:02;1711028.652147174;e
